proba_HAP,proba_Renovasc,proba_PPGL,proba_HTAe,groupe,name
11.165,20.832,1.58,69.592,ttt_hta_da_1 / ttt_statine_1,G97
10.14,20.053,1.006,72.173,atcd_cv_1 / heredite_0 / taille_2_0,G98
10.169,17.371,1.684,72.527,atcd_cv_1 / atcd_intolerance_ttt_hta_0 / heredite_0,G99
7.673,23.94,3.101,72.235,anciennete_hta_2_0 / imc_1_0 / ttt_hta_bb_1 / ttt_statine_1,G100
2.275,10.281,2.742,87.012,atcd_depression_1 / imc_1_0 / ka_2_1 / sport_1,G101
12.525,16.278,0.496,74.744,hta_nc_0 / mdrd_0 / pas_3_1 / ttt_hta_thiazide_1,G102
9.303,15.582,0.978,75.477,imc_1_0 / pas_3_1 / sexe_1 / ttt_hta_thiazide_1,G103
5.399,17.666,1.309,77.453,ka_3_1 / mdrd_0 / ttt_hta_bb_1,G104
9.839,15.827,1.573,73.861,atcd_cv_1 / ldl_1_1 / tabac_actif_1,G105
9.527,18.06,1.919,74.372,anciennete_hta_2_1 / perim_abdo_h_0 / tabac_actif_1 / ttt_statine_1,G106
9.176,21.965,2.166,71.142,hdl_f_0 / imc_1_0 / palpitations_0 / ttt_statine_1,G107
14.916,18.432,1.385,70.067,imc_2_0 / pas_3_1 / ttt_statine_1,G108
NA,15.965,NA,77.081,age_3_1 / mdrd_0 / pad_3_0 / pas_1_1,G109
8.58,17.764,1.588,76.104,age_2_0 / diabete_0 / taille_1_0 / ttt_hta_da_1,G110
10.299,15.9,0.688,74.82,diabete_0 / hta_nc_1 / pad_2_0 / ttt_hta_da_1,G111
NA,17.505,NA,75.11,age_3_1 / imc_1_0 / pas_3_1 / sexe_1,G112
9.115,20.947,1.297,72.119,atcd_cv_1 / imc_2_0 / tabac_actif_1,G113
5.308,17.618,1.129,77.336,ka_3_1 / ldl_1_0 / mdrd_0,G114
15.188,18.264,1.064,68.944,hdl_h_0 / imc_2_0 / mdrd_0 / pas_1_1,G115
8.377,17.461,1.227,74.7,anciennete_hta_2_1 / hta_nc_1 / pad_1_0 / ttt_hta_da_1,G116
20.085,13.262,2.464,66.139,diabete_1 / hdl_f_0 / mdrd_0 / ttt_hta_thiazide_0,G117
15.094,14.907,1.101,70.373,anciennete_hta_1_1 / atcd_cv_1 / taille_2_0 / ttt_hta_thiazide_0,G118
8.411,18.773,1.433,75.728,pas_2_0 / perim_abdo_h_0 / ttt_hta_bb_1 / ttt_hta_da_1,G119
13.017,22.459,0.882,66.423,heredite_1 / imc_1_0 / mdrd_0 / nb_ttt_2_1,G120
7.186,17.072,1.045,74,ka_3_1 / mdrd_0 / ttt_hta_ic_1,G121
16.784,15.859,1.463,69.095,age_1_1 / atcd_saos_1 / imc_2_0 / ttt_statine_1,G122
9.209,18.487,1.957,72.196,htar_0 / imc_1_0 / nb_ttt_2_1 / pad_1_0,G123
14.846,13.391,1.37,72.869,atcd_cv_1 / fc_1_0 / gaj_1,G124
NA,11.652,NA,78.41,age_3_1 / hdl_h_0 / pas_1_1,G125
9.582,20.272,1.15,72.04,mdrd_0 / pad_1_0 / sexe_0 / ttt_hta_ic_1,G126
12.204,14.625,0.89,72.917,cephalees_0 / pas_2_1 / ttt_hta_da_1,G127
NA,18.597,NA,78.524,age_3_1 / pas_3_1 / sexe_0 / tabac_actif_1,G128
9.95,19.458,0.879,72.481,anciennete_hta_1_0 / mdrd_0 / pas_3_1,G129
9.576,14.535,0.891,77.397,hdl_h_0 / perim_abdo_h_0 / ttt_statine_1,G130
7.982,19.077,1.3,74.181,pad_1_0 / pas_1_1 / ttt_hta_da_1,G131
12.438,16.936,1.197,69.275,ttt_hta_da_1 / ttt_hta_ic_1,G132
9.991,25.533,0.659,68.041,atcd_cv_1 / ttt_hta_da_1,G133
18.293,14.282,1.592,68.486,diabete_1 / hdl_h_0 / mdrd_0 / ttt_hta_bsra_1,G134
21.27,17.432,1.287,66.284,age_2_0 / mdrd_0 / nb_ttt_1_1 / ttt_hta_ic_1,G135
8.512,12.218,0.498,80.4,mdrd_0 / pas_max_1_0 / ttt_hta_bb_1 / ttt_hta_epargneur_k_0,G136
12.131,20.626,1.551,69.502,atcd_cv_1 / heredite_0 / ttt_statine_1,G137
13.895,18.388,0.948,69.91,atcd_cv_1 / hdl_f_0 / ttt_hta_bb_1,G138
10.814,17.986,0.87,73.684,anciennete_hta_2_0 / mdrd_0 / sueurs_0 / ttt_hta_bb_1,G139
5.417,12.749,1.368,81.682,hta_nc_1 / pad_1_0 / tabac_actif_1 / ttt_hta_thiazide_1,G140
17.589,14.325,0.64,67.64,atcd_saos_1 / ttt_hta_da_1,G141
7.694,14.509,0.828,79.408,hdl_f_1 / imc_1_0 / pas_3_1 / ttt_hta_thiazide_1,G142
15.352,16.166,0.564,69.548,atcd_intolerance_ttt_hta_0 / cephalees_0 / nb_ttt_1_1 / ttt_hta_vasodil_1,G143
8.481,16.968,2.026,73.737,anciennete_hta_1_0 / imc_1_0 / ldl_1_1 / nb_ttt_2_1,G144
15.124,15.633,0.723,70.923,atcd_cv_1 / fc_1_0 / hta_nc_1,G145
10.991,18.512,1.532,74.426,age_2_0 / atcd_cv_1 / taille_1_0,G146
9.152,14.018,1.757,76.351,anciennete_hta_1_0 / pas_2_1 / ttt_statine_1,G147
19.643,16.539,0.892,64.646,mdrd_0 / sueurs_0 / ttt_hta_ic_1 / ttt_hta_thiazide_0,G148
17.211,17.062,0.961,70.522,age_2_0 / fc_1_0 / hta_nc_1 / ttt_hta_da_1,G149
14.98,16.83,0.768,68.313,htar_0 / ka_3_0 / pas_3_1 / ttt_hta_da_1,G150
10.685,20.734,1.012,70.027,mdrd_0 / ttt_hta_da_1,G151
8.802,17.878,1.24,74.354,atcd_cv_1 / hta_nc_1 / pad_1_0,G152
15.953,12.349,1.177,72.174,ldl_1_0 / pad_3_0 / pas_3_1 / ttt_hta_bsra_0,G153
19.001,17.231,0.985,65.811,atcd_cv_1 / hdl_h_0 / htar_0 / nb_ttt_2_1,G154
9.997,20.445,0.685,74.091,atcd_cv_1 / gaj_0 / heredite_0 / taille_2_0,G155
16.026,12.769,3.091,69.54,atcd_cv_1 / gaj_1 / ttt_hta_thiazide_0,G156
NA,19.343,NA,76.889,age_3_1 / hta_nc_0 / ldl_1_0 / mdrd_0,G157
NA,12.86,NA,77.902,age_3_1 / ldl_1_1 / mdrd_0 / sexe_1,G158
18.18,16.407,1.27,67.386,hdl_h_0 / imc_2_0 / ttt_hta_bb_1 / ttt_hta_ic_1,G159
9.651,17.387,1.392,73.929,atcd_cv_1 / atcd_intolerance_ttt_hta_0 / taille_1_0 / ttt_hta_thiazide_0,G160
4.114,17.333,1.661,81.507,atcd_cv_1 / imc_2_0 / ttt_hta_bb_1 / ttt_hta_ic_0,G161
NA,11.722,NA,80.013,age_3_1 / cephalees_0 / fc_1_0 / hdl_h_0,G162
14.146,17.978,0.739,70.539,cephalees_0 / mdrd_0 / taille_1_0 / ttt_hta_ic_1,G163
NA,12.42,NA,83.158,age_3_1 / hdl_h_0 / ka_2_1 / pad_2_0,G164
8.722,17.715,1.129,74.668,age_1_1 / atcd_cv_1 / hdl_f_0 / pad_1_0,G165
10.389,14.905,1.212,74.444,atcd_cv_1 / atcd_depression_0 / sport_1 / ttt_hta_vasodil_0,G166
13.796,19.518,1.485,69.675,mdrd_0 / ttt_statine_1,G167
6.595,17.801,1.806,75.068,atcd_intolerance_ttt_hta_0 / hta_nc_1 / pad_1_0 / ttt_hta_da_1,G168
5.993,18.805,1.718,76.048,nb_ttt_1_1 / pad_1_0 / ttt_hta_bb_1 / ttt_hta_da_1,G169
14.443,19.062,0.821,68.389,imc_2_0 / ttt_hta_vasodil_1,G170
15.248,16.436,1.332,70.32,diabete_1 / fc_1_0 / ttt_hta_da_1,G171
4.49,17.979,0.185,81.936,atcd_cv_1 / hdl_f_0 / ka_2_1 / perim_abdo_h_0,G172
4.694,19.126,1.242,76.436,ka_3_1 / mdrd_0 / pad_1_0 / ttt_hta_ic_1,G173
13.538,17.275,0.685,71.045,pas_3_1 / trigly_0 / ttt_hta_da_1,G174
NA,14.038,NA,78.785,age_3_1 / hdl_h_0 / hta_nc_0 / ldl_1_0,G175
14.062,16.338,0.729,71.386,atcd_cv_1 / atcd_depression_0 / fc_1_0 / nb_ttt_1_1,G176
10.416,18.231,1.112,72.843,mdrd_0 / nb_ttt_2_1 / pad_1_0,G177
16.746,13.987,1.301,69.521,atcd_cv_1 / diabete_1 / fc_1_0 / sexe_1,G178
8.448,13.363,1.735,77.399,fc_1_0 / hdl_h_0 / imc_1_0 / ttt_hta_central_0,G179
6.89,15.078,1.768,77.149,atcd_depression_1 / hta_nc_0 / nb_ttt_1_1 / perim_abdo_f_0,G180
8.68,18.688,1.888,72.939,imc_1_0 / nb_ttt_2_1 / pad_1_0,G181
14.126,22.624,0.736,68.125,atcd_cv_1 / imc_2_0 / ldl_1_0 / nb_ttt_2_1,G182
13.873,13.487,1.52,71.924,atcd_cv_1 / hdl_h_0 / ldl_1_1,G183
10.447,17.033,1.202,73.628,atcd_cv_1 / ldl_1_0 / sport_1,G184
14.713,19.787,3.776,70.57,age_2_0 / imc_2_0 / ttt_hta_bb_1 / ttt_statine_1,G185
16.326,20.053,0.981,66.422,imc_1_0 / nb_ttt_2_1 / pas_3_1,G186
11.238,17.892,1.136,74.094,fc_1_1 / mdrd_0 / taille_1_0 / ttt_hta_bb_1,G187
14.166,13.588,1.83,69.872,imc_2_0 / mdrd_0 / sexe_1 / ttt_hta_bsra_0,G188
17.97,16.206,0.529,70.582,cephalees_0 / mdrd_0 / pas_3_1 / trigly_0,G189
9.836,15.053,1.602,73.816,htar_0 / pad_3_0 / pas_1_1 / ttt_hta_da_1,G190
16.894,20.429,0.982,65.446,imc_1_0 / nb_ttt_2_1 / pas_3_1 / sport_0,G191
12.239,19.153,0.643,71.866,atcd_cv_1 / pad_2_0 / taille_1_0 / ttt_hta_ic_1,G192
14.662,16.188,0.668,71.46,atcd_cv_1 / fc_1_0 / pas_1_1,G193
7.489,16.142,1.924,75.502,atcd_intolerance_ttt_hta_0 / taille_1_0 / ttt_hta_da_1 / ttt_hta_thiazide_0,G194
10.752,17.828,2.337,70.872,imc_1_0 / nb_ttt_2_1 / trigly_1,G195
14.203,13.461,1.705,70.562,atcd_cv_1 / ttt_hta_bsra_0,G196
NA,16.067,NA,76.172,age_3_1 / anciennete_hta_1_1 / hdl_f_0 / mdrd_0,G197
11.307,20.219,1.723,68.944,imc_1_0 / nb_ttt_2_1 / tabac_actif_1,G198
NA,11.651,NA,78.409,age_3_1 / hdl_h_0 / taille_1_1,G199
17.649,14.751,1.399,67.277,hdl_h_0 / mdrd_0 / ttt_hta_thiazide_0,G200
11.872,17.95,0.948,70.505,atcd_intolerance_ttt_hta_0 / pas_3_1 / ttt_hta_da_1,G201
11.712,19.504,0.579,71.027,palpitations_0 / pas_3_1 / taille_2_0 / ttt_hta_da_1,G202
7.839,15.083,1.79,77.367,pad_1_0 / pas_1_1 / perim_abdo_f_0 / ttt_hta_bb_1,G203
3.244,20.696,3.565,78.735,imc_1_0 / ka_3_1 / ttt_statine_1,G204
14.189,20.255,1.824,65.966,imc_1_0 / sport_0 / ttt_hta_bb_1 / ttt_hta_ic_1,G205
10.989,23.173,1.81,69.068,hdl_h_1 / imc_1_0 / mdrd_0 / nb_ttt_1_1,G206
13.154,17.509,2.009,69.072,hdl_h_0 / imc_1_0 / nb_ttt_1_1,G207
8.098,17.433,1.299,75.712,atcd_cv_1 / fc_2_0 / ldl_2_0 / pad_1_0,G208
14.983,18.769,1.042,70.45,fc_2_0 / imc_2_0 / mdrd_0 / nb_ttt_2_1,G209
14.417,15.106,0.923,71.629,cephalees_0 / hdl_h_0 / hta_nc_0 / mdrd_0,G210
17.701,9.998,2.491,71.857,diabete_1 / hta_nc_1 / ldl_1_1 / mdrd_0,G211
21.809,16.094,0.723,65.769,hdl_h_0 / mdrd_0 / nb_ttt_2_1 / pas_1_1,G212
NA,20.556,NA,73.903,age_3_1 / heredite_0 / ldl_1_0 / mdrd_0,G213
13.508,23.009,1.642,67.868,imc_1_0 / pas_3_1 / pas_max_2_1 / ttt_statine_1,G214
7.864,14.873,1.693,78.103,anciennete_hta_1_0 / fc_1_0 / pas_3_0 / ttt_statine_1,G215
9.269,17.873,1.168,73.242,ldl_1_0 / pad_3_0 / ttt_hta_da_1,G216
15.648,18.508,0.849,69.448,palpitations_0 / pas_3_1 / tabac_actif_1 / ttt_statine_1,G217
12.656,17.576,0.717,72.178,atcd_cv_1 / cephalees_0 / imc_2_0 / pas_1_1,G218
NA,15.429,NA,77.064,age_3_1 / atcd_intolerance_ttt_hta_0 / ldl_1_0 / pas_3_1,G219
10.411,16.954,2.451,73.549,age_2_0 / heredite_0 / pad_2_0 / ttt_hta_da_1,G220
6.71,18.101,2.867,75.038,anciennete_hta_2_0 / imc_1_0 / tabac_actif_1 / ttt_hta_bb_1,G221
11.287,15.167,1.23,73.62,age_1_1 / hdl_h_0 / ka_1_1 / mdrd_0,G222
10.641,19.835,0.831,71.849,pas_3_1 / sexe_0 / ttt_hta_da_1,G223
13.25,17.419,0.743,70.909,pas_3_1 / sport_0 / trigly_0 / ttt_hta_da_1,G224
6.401,16.338,2.637,75.669,anciennete_hta_1_0 / imc_1_0 / taille_1_1 / ttt_hta_bb_1,G225
9.369,17.892,2.083,73.882,ka_1_1 / tabac_actif_1 / ttt_hta_bb_1 / ttt_statine_1,G226
10.126,14.118,0.901,77.102,atcd_depression_0 / hdl_h_0 / perim_abdo_h_0 / ttt_statine_1,G227
7.936,19.35,1.286,74.784,ldl_1_0 / nb_ttt_1_1 / taille_1_0 / ttt_hta_da_1,G228
7.827,22.043,1.44,73.694,anciennete_hta_1_0 / htar_0 / mdrd_0 / ttt_hta_bb_1,G229
8.091,20.863,2.045,72.756,imc_1_0 / pad_3_0 / pas_3_1 / tabac_actif_1,G230
14.05,15.057,1.654,69.616,atcd_depression_0 / diabete_1 / hdl_f_0 / ttt_hta_da_1,G231
NA,10.046,NA,82.529,age_3_1 / hdl_h_0 / imc_2_0 / ttt_statine_0,G232
11.816,21.765,2.751,69.576,imc_1_0 / nb_ttt_1_1 / pas_max_2_1 / ttt_statine_1,G233
13.223,24.762,1.479,64.395,imc_1_0 / mdrd_0 / nb_ttt_2_1 / sexe_1,G234
9.329,13.883,1.896,75.712,anciennete_hta_1_0 / hta_nc_1 / ttt_statine_1,G235
10.542,17.693,2.482,70.482,htar_0 / imc_1_0 / nb_ttt_1_1 / tabac_actif_1,G236
7.609,17.402,1.318,76.033,atcd_depression_0 / ka_2_1 / mdrd_0 / ttt_hta_bb_1,G237
9.769,19.187,0.678,72.846,diabete_0 / ldl_1_0 / ttt_hta_da_1,G238
8.147,19.013,1.181,74.758,anciennete_hta_1_0 / atcd_cv_1 / imc_2_0 / pas_1_1,G239
10.758,18.971,1.429,71.9,anciennete_hta_1_0 / nb_ttt_2_1 / ttt_statine_1,G240
20.373,17.277,0.477,68.122,imc_2_0 / ldl_1_0 / nb_ttt_2_1 / pas_3_1,G241
14.129,15.891,1.046,70.761,atcd_cv_1 / atcd_depression_0 / hdl_h_0 / hta_nc_0,G242
18.262,13.169,1.834,68.58,age_1_1 / gaj_1 / hdl_h_0 / mdrd_0,G243
9.635,18.08,1.662,74.867,age_2_0 / cephalees_0 / taille_1_0 / ttt_hta_da_1,G244
14.184,19.513,1.559,67.383,hdl_h_0 / imc_1_0 / nb_ttt_2_1,G245
13.262,16.135,1.645,72.491,age_2_0 / atcd_cv_1 / atcd_depression_0 / pas_2_0,G246
8.409,16.782,0.953,75.953,atcd_cv_1 / atcd_intolerance_ttt_hta_0 / fc_1_1 / taille_1_0,G247
15.779,17.216,1.574,68.29,atcd_cv_1 / diabete_1 / ttt_hta_bb_1 / ttt_statine_1,G248
8.262,16.316,2.321,74.058,imc_2_0 / perim_abdo_f_0 / taille_1_1 / ttt_statine_1,G249
8.929,13.463,1.957,76.313,anciennete_hta_1_0 / hta_nc_1 / pas_3_0 / ttt_statine_1,G250
13.263,17.935,1.047,70.704,atcd_cv_1 / atcd_depression_0 / ttt_hta_bb_1,G251
10.696,18.552,0.958,72.216,atcd_cv_1 / ldl_2_0 / sueurs_0 / tabac_actif_1,G252
5.957,21.437,3.629,74.815,imc_1_0 / pad_1_0 / ttt_statine_1,G253
5.673,20.045,0.891,78.698,atcd_cv_1 / diabete_0 / pad_1_0 / taille_1_0,G254
7.049,19.83,1.324,75.6,atcd_cv_1 / imc_2_0 / pad_1_0,G255
11.053,18.616,2.219,72.505,hdl_h_0 / imc_2_0 / taille_2_0 / ttt_statine_1,G256
4.921,13.452,1.821,80.603,atcd_cv_1 / nb_ttt_1_0 / tabac_actif_1 / ttt_hta_alphab_0,G257
11.419,19.003,2.284,71.42,age_2_0 / pad_3_0 / ttt_hta_bb_1 / ttt_hta_da_1,G258
21.838,16.858,0.677,63.994,atcd_cv_1 / hdl_h_0 / pas_1_1 / ttt_hta_ic_1,G259
12.329,14.022,1.898,71.102,gaj_1 / hdl_f_0 / ttt_hta_da_1,G260
6.574,20.127,1.79,76.332,anciennete_hta_2_0 / atcd_cv_1 / pad_1_0 / ttt_statine_1,G261
8.294,15.398,1.132,77.767,atcd_cv_1 / gaj_0 / sport_1 / ttt_hta_central_0,G262
11.138,17.509,1.163,72.888,hdl_f_0 / ka_1_1 / mdrd_0 / ttt_hta_bb_1,G263
5.436,16.968,1.755,77.499,pad_1_0 / trigly_1 / ttt_hta_da_1 / ttt_hta_epargneur_k_0,G264
18.212,16.132,1.302,69.057,age_2_0 / ldl_1_0 / mdrd_0 / sexe_1,G265
15.991,15.777,0.722,68.924,atcd_cv_1 / sexe_1 / taille_2_0 / ttt_hta_ic_1,G266
11.674,19.584,0.826,71.948,atcd_cv_1 / taille_2_0 / ttt_hta_bb_1,G267
